Reference,Value,Footprint,Quantity,Manufacturer,MPN,Distributor,DPN,DNP
R_EIS_LOAD,100R 0.1% 0603 thin-film,EIS_Load_0603,1,Vishay Dale,TNPW0603100RBEEA,DigiKey,541-100ARTR-ND,No
"H_N_1,H_N_2,H_N_3,H_N_4,H_N_5,H_N_6,H_N_7,H_N_8,H_N_9,H_N_10,H_N_11,H_N_12,H_N_13,H_N_14,H_N_15,H_N_16,H_N_17,H_N_18,H_N_19,H_N_20,H_N_21,H_N_22,H_N_23,H_N_24,H_N_25,H_N_26,H_N_27,H_N_28,H_N_29,H_N_30,H_N_31,H_N_32,H_S_1,H_S_2,H_S_3,H_S_4,H_S_5,H_S_6,H_S_7,H_S_8,H_S_9,H_S_10,H_S_11,H_S_12,H_S_13,H_S_14,H_S_15,H_S_16,H_S_17,H_S_18,H_S_19,H_S_20,H_S_21,H_S_22,H_S_23,H_S_24,H_S_25,H_S_26,H_S_27,H_S_28,H_S_29,H_S_30,H_S_31,H_S_32",Pin 2.54mm THT 1x40 single-row male,Header_2.54mm,64,Wurth,61304011121,LCSC,C124378,No
"TH1,TH2,TH3,TH4",NTC 10k 0402 B=3380K,NTC_0402,4,Murata,NCP15XH103J03RC,LCSC,C5316,No
"BP_R1C1,BP_R1C2,BP_R1C3,BP_R1C4,BP_R1C5,BP_R1C6,BP_R2C1,BP_R2C2,BP_R2C3,BP_R2C4,BP_R2C5,BP_R2C6,BP_R3C1,BP_R3C2,BP_R3C3,BP_R3C4,BP_R3C5,BP_R3C6,BP_R4C1,BP_R4C2,BP_R4C3,BP_R4C4,BP_R4C5,BP_R4C6,BP_R5C1,BP_R5C2,BP_R5C3,BP_R5C4,BP_R5C5,BP_R5C6,BP_R6C1,BP_R6C2,BP_R6C3,BP_R6C4,BP_R6C5,BP_R6C6","DoE bond pad (bare ENIG land, DNP)",BondPad_DoE,36,-,-,-,-,Yes
"FID1,FID2,FID3,FID4","Optical fiducial (no component, DNP)",Fiducial_1mm,4,-,-,-,-,Yes
"PP_D1_A,PP_D1_KB,PP_D1_KG,PP_D1_KR,PP_D2_A,PP_D2_KB,PP_D2_KG,PP_D2_KR,PP_D3_A,PP_D3_KB,PP_D3_KG,PP_D3_KR,PP_D4_A,PP_D4_KB,PP_D4_KG,PP_D4_KR,PP_D5_A,PP_D5_KB,PP_D5_KG,PP_D5_KR,PP_D6_A,PP_D6_KB,PP_D6_KG,PP_D6_KR,PP_D7_A,PP_D7_KB,PP_D7_KG,PP_D7_KR,PP_D8_A,PP_D8_KB,PP_D8_KG,PP_D8_KR,PP_DCL6_IN,PP_DCL6_OUT,PP_DCL12_IN,PP_DCL12_OUT,PP_EIS_OPEN_A,PP_EIS_OPEN_B,PP_EIS_SHORT_A,PP_EIS_SHORT_B,PP_GND1,PP_GND2,PP_NTC1,PP_NTC2,PP_NTC3,PP_NTC4","Gold probe pad (bare ENIG land, DNP)",Probe_1.27mm,46,-,-,-,-,Yes
"TC1,TC2,TC3,TC4","TC solder pad (bare ENIG land, DNP)",TC_Pad_1mm,4,-,-,-,-,Yes
"TLM_W0.5,TLM_W0.25,TLM_W1.0","TLM finger (bare ENIG land, DNP)",TLM,3,-,-,-,-,Yes
"VDP_W0.5,VDP_W0.15,VDP_W0.25,VDP_W1.0","VDP contact (bare ENIG land, DNP)",VDP,4,-,-,-,-,Yes
"D1,D2,D3,D4,D5,D6,D7,D8,DCL6_L1,DCL6_L2,DCL6_L3,DCL6_L4,DCL6_L5,DCL6_L6,DCL12_L1,DCL12_L2,DCL12_L3,DCL12_L4,DCL12_L5,DCL12_L6,DCL12_L7,DCL12_L8,DCL12_L9,DCL12_L10,DCL12_L11,DCL12_L12",WL-SFCC RGB (DNP — customer bonds in cleanroom),WL-SFCC_0404,26,Wurth,150044M155220,LCSC,C2890605,Yes
